Lat,Lon,Title,rank,Country,2021 pop.
35.6828387,139.7594549,Tokyo,1,Japan,37339804
28.6517178,77.2219388,Delhi,2,India,31181376
31.2322758,121.4692071,Shanghai,3,China,27795702
-23.5506507,-46.6333824,Sao Paulo,4,Brazil,22237472
19.4326296,-99.1331785,Mexico City,5,Mexico,21918936
23.7861979,90.4026151,Dhaka,6,Bangladesh,21741090
30.0443879,31.2357257,Cairo,7,Egypt,21322750
39.906217,116.3912757,Beijing,8,China,20896820
19.0759899,72.8773928,Mumbai,9,India,20667656
34.6198813,135.490357,Osaka,10,Japan,19110616
24.8546842,67.0207055,Karachi,11,Pakistan,16459472
29.5647398,106.5478767,Chongqing,12,China,16382376
41.0096334,28.9651646,Istanbul,13,Turkey,15415197
-34.6075682,-58.4370894,Buenos Aires,14,Argentina,15257673
22.5414185,88.3576912,Kolkata,15,India,14974073
-4.3217055,15.3125974,Kinshasa,16,DR Congo,14970460
6.4550575,3.3941795,Lagos,17,Nigeria,14862111
14.5907332,120.9809674,Manila,18,Philippines,14158573
39.0856735,117.1951073,Tianjin,19,China,13794450
23.1301964,113.2592945,Guangzhou,20,China,13635397
-22.9110137,-43.2093727,Rio de Janeiro,21,Brazil,13544462
31.5656822,74.3141829,Lahore,22,Pakistan,13095166
12.9767936,77.590082,Bangalore,23,India,12764935
55.7504461,37.6174943,Moscow,24,Russia,12593252
22.555454,114.0543297,Shenzhen,25,China,12591696
13.0836939,80.270186,Chennai,26,India,11235018
4.6533326,-74.083652,Bogota,27,Colombia,11167392
48.8588897,2.320041,Paris,28,France,11078546
-6.1753942,106.827183,Jakarta,29,Indonesia,10915364
-12.0621065,-77.0365256,Lima,30,Peru,10882757
13.7525438,100.4934734,Bangkok,31,Thailand,10722815
17.360589,78.4740613,Hyderabad,32,India,10268653
37.5666791,126.9782914,Seoul,33,South Korea,9967677
35.1851045,136.8998438,Nagoya,34,Japan,9565642
51.5073219,-0.1276474,London,35,United Kingdom,9425622
30.6598628,104.0633717,Chengdu,36,China,9305116
35.6892523,51.3896004,Tehran,37,Iran,9259009
32.0437711,118.7788734,Nanjing,38,China,9143980
10.7715512,106.6983801,Ho Chi Minh City,39,Vietnam,8837544
-8.8272699,13.2439512,Luanda,40,Angola,8631876
30.5951051,114.2999353,Wuhan,41,China,8473405
34.3430507,108.9350839,Xi-an Shaanxi,42,China,8274651
23.0216238,72.5797068,Ahmedabad,43,India,8253226
40.7127281,-74.0060152,New York City,44,United States,8230290
3.1516964,101.6942371,Kuala Lumpur,45,Malaysia,8210745
30.2489634,120.2052342,Hangzhou,46,China,7845501
22.2793278,114.1628131,Hong Kong,47,Hong Kong,7598189
45.9383,3.2553,Surat,48,India,7489742
23.0205969,113.7457788,Dongguan,49,China,7451889
31.3016935,120.5810725,Suzhou,50,China,7427096
